WAVELENGTH	NORM_INTENSITY
320.1481763	0
320.256863	0
320.3655559	0
320.474255	0
320.5829603	0
320.6916719	0
320.8003897	0
320.9091138	0
321.0178441	0
321.1265806	0
321.2353233	0
321.3440723	0
321.4528275	0
321.5615889	0
321.6703565	0
321.7791304	0
321.8879104	0
321.9966967	0
322.1054892	0
322.2142879	0
322.3230929	0
322.431904	0
322.5407213	0
322.6495449	0
322.7583746	0
322.8672106	0
322.9760527	0
323.0849011	0
323.1937556	0
323.3026164	0
323.4114833	0
323.5203565	0
323.6292358	0
323.7381213	0
323.8470131	0
323.955911	0
324.0648151	0
324.1737253	0
324.2826418	0
324.3915644	0
324.5004933	0
324.6094283	0
324.7183694	0
324.8273168	0
324.9362703	0
325.04523	0
325.1541959	0
325.2631679	0
325.3721461	0
325.4811305	0
325.5901211	0
325.6991178	0
325.8081206	0
325.9171296	0
326.0261448	0
326.1351662	0
326.2441937	0
326.3532273	0
326.4622671	0
326.5713131	0
326.6803652	0
326.7894234	0
326.8984878	0
327.0075584	0
327.1166351	0
327.2257179	0
327.3348069	0
327.443902	0
327.5530032	0
327.6621106	0
327.7712241	0
327.8803438	0
327.9894696	0
328.0986015	0
328.2077395	0
328.3168837	0
328.426034	0
328.5351904	0
328.6443529	0
328.7535216	0
328.8626963	0
328.9718772	0
329.0810642	0
329.1902574	0
329.2994566	0
329.4086619	0
329.5178734	0
329.6270909	0
329.7363146	0
329.8455444	0
329.9547803	0
330.0640222	0
330.1732703	0
330.2825245	0
330.3917848	0
330.5010511	0
330.6103236	0
330.7196021	0
330.8288868	0
330.9381775	0
331.0474743	0
331.1567773	0
331.2660862	0
331.3754013	0
331.4847225	0
331.5940497	0
331.703383	0
331.8127224	0
331.9220679	0
332.0314194	0
332.1407771	0
332.2501408	6.73126E-06
332.3595105	4.06291E-06
332.4688863	4.38136E-06
332.5782682	7.06068E-06
332.6876562	6.41281E-06
332.7970502	6.41281E-06
332.9064503	7.06068E-06
333.0158564	8.66389E-06
333.1252686	9.19097E-06
333.2346869	7.26932E-06
333.3441112	7.48894E-06
333.4535416	6.41281E-06
333.562978	6.09437E-06
333.6724204	5.23786E-06
333.781869	5.55631E-06
333.8913235	5.77593E-06
334.0007841	5.45748E-06
334.1102508	3.63466E-06
334.2197235	4.60097E-06
334.3292022	4.38136E-06
334.438687	5.12806E-06
334.5481778	6.84107E-06
334.6576747	7.58776E-06
334.7671776	8.23563E-06
334.8766865	8.87252E-06
334.9862015	8.98233E-06
335.0957225	9.61922E-06
335.2052495	6.73126E-06
335.3147825	9.09214E-06
335.4243216	7.37913E-06
335.5338667	8.87252E-06
335.6434178	5.55631E-06
335.752975	6.41281E-06
335.8625381	7.37913E-06
335.9721073	1.1442E-05
336.0816825	1.15519E-05
336.1912637	1.00475E-05
336.3008509	5.55631E-06
336.4104442	3.63466E-06
336.5200434	1.17495E-06
336.6296487	3.42602E-06
336.7392599	8.23563E-06
336.8488772	9.09214E-06
336.9585005	8.98233E-06
337.0681298	6.52262E-06
337.1777651	7.91719E-06
337.2874063	8.7737E-06
337.3970536	6.63243E-06
337.5067069	6.73126E-06
337.6163662	6.95088E-06
337.7260314	1.12224E-05
337.8357027	1.02671E-05
337.9453799	9.94865E-06
338.0550632	7.37913E-06
338.1647524	7.06068E-06
338.2744476	6.20418E-06
338.3841488	6.63243E-06
338.493856	6.09437E-06
338.6035691	6.41281E-06
338.7132883	7.69757E-06
338.8230134	7.06068E-06
338.9327445	8.55408E-06
339.0424816	6.20418E-06
339.1522246	6.84107E-06
339.2619736	4.80961E-06
339.3717286	8.01602E-06
339.4814896	8.87252E-06
339.5912565	8.76272E-06
339.7010294	7.26932E-06
339.8108082	8.44427E-06
339.9205931	8.44427E-06
340.0303838	8.23563E-06
340.1401806	7.48894E-06
340.2499833	9.41059E-06
340.3597919	9.72903E-06
340.4696065	9.19097E-06
340.5794271	7.37913E-06
340.6892536	5.23786E-06
340.7990861	5.45748E-06
340.9089245	8.01602E-06
341.0187689	8.87252E-06
341.1286192	1.03769E-05
341.2384754	6.95088E-06
341.3483376	9.52039E-06
341.4582057	9.19097E-06
341.5680798	9.61922E-06
341.6779598	1.02671E-05
341.7878458	9.30078E-06
341.8977377	1.30452E-05
342.0076355	9.41059E-06
342.1175392	8.55408E-06
342.2274489	4.6998E-06
342.3373645	6.09437E-06
342.4472861	8.55408E-06
342.5572135	8.23563E-06
342.6671469	8.87252E-06
342.7770862	7.37913E-06
342.8870315	8.01602E-06
342.9969826	5.55631E-06
343.1069397	4.38136E-06
343.2169027	5.55631E-06
343.3268716	9.52039E-06
343.4368464	1.06953E-05
343.5468271	9.83884E-06
343.6568138	9.30078E-06
343.7668063	7.37913E-06
343.8768048	7.26932E-06
343.9868091	5.12806E-06
344.0968194	8.23563E-06
344.2068356	8.44427E-06
344.3168576	8.55408E-06
344.4268856	8.12583E-06
344.5369195	8.66389E-06
344.6469592	8.7737E-06
344.7570049	8.01602E-06
344.8670565	5.98456E-06
344.9771139	7.58776E-06
345.0871772	8.87252E-06
345.1972465	1.15519E-05
345.3073216	1.02671E-05
345.4174026	9.61922E-06
345.5274894	8.44427E-06
345.6375822	8.01602E-06
345.7476809	7.80738E-06
345.8577854	7.80738E-06
345.9678958	7.37913E-06
346.0780121	9.19097E-06
346.1881342	8.55408E-06
346.2982622	9.61922E-06
346.4083961	7.26932E-06
346.5185359	8.44427E-06
346.6286816	7.80738E-06
346.7388331	7.37913E-06
346.8489904	7.06068E-06
346.9591537	4.91942E-06
347.0693228	6.20418E-06
347.1794977	5.34767E-06
347.2896786	7.06068E-06
347.3998652	6.20418E-06
347.5100578	7.06068E-06
347.6202562	8.44427E-06
347.7304604	7.91719E-06
347.8406705	6.63243E-06
347.9508864	8.12583E-06
348.0611082	1.00475E-05
348.1713359	1.08052E-05
348.2815694	8.44427E-06
348.3918087	7.06068E-06
348.5020539	6.31399E-06
348.6123049	5.77593E-06
348.7225617	5.23786E-06
348.8328244	8.01602E-06
348.943093	6.09437E-06
349.0533673	6.95088E-06
349.1636475	7.58776E-06
349.2739335	9.72903E-06
349.3842254	1.03769E-05
349.4945231	6.09437E-06
349.6048266	5.23786E-06
349.7151359	4.28253E-06
349.8254511	7.69757E-06
349.9357721	8.01602E-06
350.0460989	8.87252E-06
350.1564315	8.98233E-06
350.26677	7.91719E-06
350.3771142	6.63243E-06
350.4874643	4.49117E-06
350.5978202	5.88573E-06
350.7081819	4.80961E-06
350.8185494	5.88573E-06
350.9289227	6.41281E-06
351.0393019	6.95088E-06
351.1496868	6.41281E-06
351.2600775	5.77593E-06
351.3704741	6.41281E-06
351.4808764	5.12806E-06
351.5912846	5.45748E-06
351.7016985	4.91942E-06
351.8121182	6.41281E-06
351.9225438	7.80738E-06
352.0329751	8.98233E-06
352.1434122	8.23563E-06
352.2538551	7.37913E-06
352.3643038	8.23563E-06
352.4747583	7.06068E-06
352.5852186	6.95088E-06
352.6956846	5.66612E-06
352.8061564	8.44427E-06
352.9166341	1.08052E-05
353.0271175	9.83884E-06
353.1376066	7.91719E-06
353.2481016	7.26932E-06
353.3586023	6.84107E-06
353.4691088	9.94865E-06
353.5796211	1.00475E-05
353.6901391	1.0904E-05
353.8006629	9.41059E-06
353.9111925	8.7737E-06
354.0217278	7.37913E-06
354.1322689	5.88573E-06
354.2428158	2.14127E-06
354.3533684	3.20641E-06
354.4639268	5.12806E-06
354.5744909	8.12583E-06
354.6850608	8.44427E-06
354.7956365	7.06068E-06
354.9062179	5.23786E-06
355.0168051	7.58776E-06
355.127398	8.23563E-06
355.2379966	8.44427E-06
355.348601	5.98456E-06
355.4592112	4.17272E-06
355.5698271	6.63243E-06
355.6804487	7.15951E-06
355.7910761	7.80738E-06
355.9017092	6.95088E-06
356.0123481	7.80738E-06
356.1229926	7.69757E-06
356.233643	8.44427E-06
356.344299	8.66389E-06
356.4549608	1.03769E-05
356.5656283	8.34544E-06
356.6763016	8.55408E-06
356.7869806	8.66389E-06
356.8976653	9.41059E-06
357.0083557	8.01602E-06
357.1190518	7.15951E-06
357.2297537	8.98233E-06
357.3404613	7.91719E-06
357.4511746	6.09437E-06
357.5618936	5.88573E-06
357.6726184	8.12583E-06
357.7833488	9.52039E-06
357.894085	6.31399E-06
358.0048268	4.91942E-06
358.1155744	5.45748E-06
358.2263277	8.87252E-06
358.3370867	9.72903E-06
358.4478514	9.09214E-06
358.5586218	8.12583E-06
358.6693979	1.13322E-05
358.7801797	1.19801E-05
358.8909672	1.20789E-05
359.0017604	8.12583E-06
359.1125592	8.44427E-06
359.2233638	5.45748E-06
359.3341741	7.15951E-06
359.44499	5.45748E-06
359.5558117	6.95088E-06
359.666639	4.91942E-06
359.777472	6.63243E-06
359.8883108	6.52262E-06
359.9991551	6.84107E-06
360.1100052	5.88573E-06
360.2208609	7.37913E-06
360.3317224	6.63243E-06
360.4425895	7.58776E-06
360.5534622	7.58776E-06
360.6643407	9.83884E-06
360.7752248	7.91719E-06
360.8861146	5.45748E-06
360.9970101	5.88573E-06
361.1079112	8.01602E-06
361.218818	1.05855E-05
361.3297304	1.11236E-05
361.4406485	1.0904E-05
361.5515723	9.61922E-06
361.6625017	8.87252E-06
361.7734368	1.00475E-05
361.8843776	9.52039E-06
361.995324	9.30078E-06
362.106276	6.52262E-06
362.2172337	5.23786E-06
362.3281971	7.37913E-06
362.4391661	8.66389E-06
362.5501408	1.05855E-05
362.6611211	7.15951E-06
362.772107	6.73126E-06
362.8830986	7.48894E-06
362.9940958	6.52262E-06
363.1050987	6.95088E-06
363.2161072	6.31399E-06
363.3271213	7.48894E-06
363.4381411	7.69757E-06
363.5491665	7.80738E-06
363.6601975	9.61922E-06
363.7712342	8.44427E-06
363.8822765	7.37913E-06
363.9933244	5.34767E-06
364.1043779	8.7737E-06
364.2154371	8.23563E-06
364.3265019	8.01602E-06
364.4375723	4.38136E-06
364.5486483	4.91942E-06
364.65973	5.45748E-06
364.7708172	6.20418E-06
