WAVELENGTH	NORM_INTENSITY
320.1481763	1.15E-05
320.256863	1.13E-05
320.3655559	1.00E-05
320.474255	8.94E-06
320.5829603	8.34E-06
320.6916719	7.95E-06
320.8003897	8.79E-06
320.9091138	8.05E-06
321.0178441	8.47E-06
321.1265806	7.95E-06
321.2353233	8.64E-06
321.3440723	8.05E-06
321.4528275	7.70E-06
321.5615889	7.91E-06
321.6703565	8.58E-06
321.7791304	9.15E-06
321.8879104	9.34E-06
321.9966967	9.31E-06
322.1054892	9.15E-06
322.2142879	9.62E-06
322.3230929	1.04E-05
322.431904	1.10E-05
322.5407213	1.03E-05
322.6495449	9.58E-06
322.7583746	8.94E-06
322.8672106	7.80E-06
322.9760527	6.97E-06
323.0849011	5.68E-06
323.1937556	6.03E-06
323.3026164	6.73E-06
323.4114833	7.15E-06
323.5203565	7.25E-06
323.6292358	8.13E-06
323.7381213	7.80E-06
323.8470131	7.20E-06
323.955911	6.62E-06
324.0648151	7.56E-06
324.1737253	8.19E-06
324.2826418	8.71E-06
324.3915644	9.10E-06
324.5004933	9.58E-06
324.6094283	9.34E-06
324.7183694	7.93E-06
324.8273168	7.90E-06
324.9362703	7.40E-06
325.04523	8.99E-06
325.1541959	8.14E-06
325.2631679	9.23E-06
325.3721461	9.26E-06
325.4811305	9.83E-06
325.5901211	8.62E-06
325.6991178	7.09E-06
325.8081206	5.73E-06
325.9171296	5.38E-06
326.0261448	5.52E-06
326.1351662	6.88E-06
326.2441937	7.30E-06
326.3532273	9.46E-06
326.4622671	9.81E-06
326.5713131	1.12E-05
326.6803652	9.42E-06
326.7894234	9.72E-06
326.8984878	7.56E-06
327.0075584	7.95E-06
327.1166351	7.83E-06
327.2257179	8.78E-06
327.3348069	8.11E-06
327.443902	8.32E-06
327.5530032	8.17E-06
327.6621106	8.68E-06
327.7712241	8.11E-06
327.8803438	8.22E-06
327.9894696	8.32E-06
328.0986015	8.42E-06
328.2077395	8.32E-06
328.3168837	8.37E-06
328.426034	8.84E-06
328.5351904	9.33E-06
328.6443529	9.25E-06
328.7535216	9.21E-06
328.8626963	9.62E-06
328.9718772	1.01E-05
329.0810642	9.99E-06
329.1902574	8.70E-06
329.2994566	8.05E-06
329.4086619	8.19E-06
329.5178734	8.24E-06
329.6270909	8.60E-06
329.7363146	7.91E-06
329.8455444	8.89E-06
329.9547803	7.38E-06
330.0640222	7.62E-06
330.1732703	7.01E-06
330.2825245	7.52E-06
330.3917848	7.17E-06
330.5010511	7.91E-06
330.6103236	8.22E-06
330.7196021	9.70E-06
330.8288868	1.02E-05
330.9381775	1.13E-05
331.0474743	1.05E-05
331.1567773	9.97E-06
331.2660862	9.05E-06
331.3754013	9.21E-06
331.4847225	8.45E-06
331.5940497	8.89E-06
331.703383	6.93E-06
331.8127224	7.59E-06
331.9220679	7.17E-06
332.0314194	8.58E-06
332.1407771	7.50E-06
332.2501408	7.80E-06
332.3595105	7.11E-06
332.4688863	8.62E-06
332.5782682	8.56E-06
332.6876562	9.23E-06
332.7970502	8.21E-06
332.9064503	8.32E-06
333.0158564	8.45E-06
333.1252686	8.47E-06
333.2346869	8.99E-06
333.3441112	9.05E-06
333.4535416	8.89E-06
333.562978	9.26E-06
333.6724204	8.76E-06
333.781869	1.01E-05
333.8913235	9.34E-06
334.0007841	9.23E-06
334.1102508	7.87E-06
334.2197235	8.21E-06
334.3292022	7.99E-06
334.438687	7.67E-06
334.5481778	7.27E-06
334.6576747	7.83E-06
334.7671776	8.32E-06
334.8766865	8.05E-06
334.9862015	7.05E-06
335.0957225	6.83E-06
335.2052495	7.66E-06
335.3147825	8.64E-06
335.4243216	8.06E-06
335.5338667	8.21E-06
335.6434178	8.19E-06
335.752975	8.71E-06
