WAVELENGTH	NORM_INTENSITY
194.11	0.001973066
194.31	-0.003322214
194.52	0.000151772
194.72	-0.000590231
194.92	0.00305233
195.12	0.001332235
195.33	0.000556503
195.53	-0.002141641
195.73	-0.000522774
195.93	0.000691418
196.13	0.000893776
196.34	0.001062419
196.54	-0.000758875
196.74	0.000590231
196.94	-0.000455317
197.15	0.000522774
197.35	0.002209181
197.55	-0.001365964
197.75	-0.001467205
197.96	8.4319E-05
198.16	0.000927505
198.36	-8.4319E-05
198.56	-0.000320416
198.76	0.002175411
198.97	0.00119732
199.17	-0.001433435
199.37	0.000691418
199.57	0.000151772
199.78	0.000725146
199.98	-0.001433435
200.18	-0.000860047
200.39	-0.000455317
200.59	0.000657689
200.79	-0.000387859
200.99	-0.000860047
201.2	-0.002849985
201.4	0.001669549
201.6	-0.000860047
201.8	0.000151772
202.01	-0.002108009
202.21	-0.000860047
202.41	-0.001500837
202.62	-0.000657689
202.82	-0.000725146
203.02	-0.000590231
203.22	-0.00163578
203.43	-0.000252958
203.63	-0.001399665
203.83	-0.000286687
204.04	-0.001264778
204.24	-5.05917E-05
204.44	-0.00079259
204.64	0.002310353
204.85	-0.003086099
205.05	0.001231049
205.25	-0.000556503
205.46	-0.000286687
205.66	1.68643E-05
205.86	0.000758875
206.07	0.000455317
206.27	0.002681273
206.47	-0.001905664
206.68	-0.001804354
206.88	-5.05917E-05
207.08	0.00079259
207.29	0.000118046
207.49	-0.001298506
207.69	-0.00119732
207.89	-0.000489045
208.1	-0.001973066
208.3	-0.000320416
208.5	-0.001838124
208.71	0.000590231
208.91	-0.000151772
209.12	0.000691418
209.32	-0.001129877
209.52	-0.000725146
209.73	-0.000118046
209.93	0.000961233
210.13	0.000320416
210.34	-0.000118046
210.54	-0.002276583
210.74	0.001028691
210.95	-0.002849985
211.15	-0.001500837
211.35	-0.001129877
211.56	0.001467205
211.76	-0.002512698
211.96	-0.000590231
212.17	-0.002546468
212.37	-0.001736952
212.58	8.4319E-05
212.78	-0.001264778
212.98	-0.002377756
