WAVELENGTH	NORM_INTENSITY
194.11	0.000772184
194.31	-0.000583847
194.52	0.000417031
194.72	-0.000745275
194.92	-0.000131832
195.12	2.9596E-05
195.33	0.000675322
195.53	-0.001552416
195.73	-0.001164993
195.93	-6.72635E-05
196.13	-0.001229559
196.34	-0.002747005
196.54	0.000481598
196.74	-0.00061613
196.94	-0.001229559
197.15	-0.002747005
197.35	-0.000906703
197.55	-0.001681521
197.75	-0.000842137
197.96	-0.000712992
198.16	-0.001649278
198.36	-0.001487797
198.56	9.41686E-05
198.76	-0.000228694
198.97	0.000804467
199.17	-0.001487797
199.37	0.00193449
199.57	-0.000680696
199.78	-2.69051E-06
199.98	-0.000390122
200.18	-0.002424175
200.39	0.000965895
200.59	-0.003005348
200.79	-0.002230451
200.99	-0.000971282
201.2	0.000998178
201.4	-0.00087442
201.6	-0.000196411
201.8	0.001514798
202.01	-0.002327313
202.21	-0.000583847
202.41	-0.000583847
202.62	-0.002359556
202.82	-0.000260977
203.02	0.001191902
203.22	0.000739888
203.43	0.000481598
203.63	0.003742496
203.83	-0.001520172
204.04	-0.00087442
204.24	0.000901316
204.44	-0.000712992
204.64	-0.000745275
204.85	-0.001003565
205.05	0.00109504
205.25	-0.001229559
205.46	0.000126454
205.66	-0.003457284
205.86	-0.000906703
206.07	-0.000519268
206.27	-0.001358691
206.47	-0.001261855
206.68	-0.001358691
206.88	-0.001261855
207.08	-9.95491E-05
207.29	-0.001390935
207.49	-0.000260977
207.69	-0.001681521
207.89	0.001030461
208.1	-0.001907621
208.3	-0.001100414
208.5	-0.002650143
208.71	0.001869872
208.91	-0.002004483
209.12	-0.001584659
209.32	0.000675322
209.52	-0.000454702
209.73	-0.003586521
209.93	-9.95491E-05
210.13	0.000223307
210.34	-0.001681521
210.54	-0.003199072
210.74	0.001999109
210.95	-0.001810758
211.15	0.000126454
211.35	-0.000777558
211.56	-0.000809841
211.76	-0.002295069
211.96	0.000707605
212.17	-0.001649278
212.37	0.000739888
212.58	-0.000196411
212.78	0.00057846
212.98	-6.72635E-05
213.19	-0.000325556
213.39	-0.001875246
