WAVELENGTH	NORM_INTENSITY
194.11	0.001083646
194.31	-0.000931926
194.52	0.000661018
194.72	-0.000671862
194.92	-0.000899421
195.12	0.000661018
195.33	-0.000574334
195.53	-0.001159499
195.73	0.001441251
195.93	-0.002719912
196.13	0.000335931
196.34	-0.001777129
196.54	0.001993872
196.74	-0.002622438
196.94	-0.000281752
197.15	-0.003272533
197.35	-0.000704367
197.55	-0.000151706
197.75	-0.000639344
197.96	0.000173381
198.16	0.001668824
198.36	-0.000769389
198.56	0.001636332
198.76	-0.000151706
198.97	-0.000476807
199.17	-0.002524831
199.37	0.001018623
199.57	-0.001907227
199.78	-0.000639344
199.98	-0.001517065
200.18	0.000335931
200.39	-0.000346761
200.59	-0.001061972
200.79	-0.001159499
200.99	0.002871672
201.2	0.001441251
201.4	0.000530986
201.6	-0.00197221
201.8	0.002709082
202.01	0.000335931
202.21	0.000791064
202.41	4.33458E-05
202.62	-0.000639344
202.82	-0.000996949
203.02	0.000563491
203.22	-0.000996949
203.43	-0.001224509
203.63	-0.001939719
203.83	-0.000964444
204.04	-0.000704367
204.24	0.001441251
204.44	-0.000736871
204.64	-0.000671862
204.85	-0.002037194
205.05	-0.000574334
205.25	-0.003597712
205.46	0.000726041
205.66	-0.001126981
205.86	0.001441251
206.07	-0.001387098
206.27	0.000888591
206.47	-0.000899421
206.68	-0.001029454
206.88	-0.001387098
207.08	-0.002784895
207.29	-0.001289531
207.49	-0.000184224
207.69	-0.001939719
207.89	-2.16729E-05
208.1	-0.000996949
208.3	-0.001029454
208.5	-0.002167292
208.71	0.001148655
208.91	-0.000249234
209.12	0.000205885
209.32	-0.000736871
209.52	0.002253936
209.73	-5.41816E-05
209.93	-0.002167292
210.13	0.000498468
210.34	0.000628513
210.54	-0.002167292
210.74	0.001538726
210.95	-0.001061972
211.15	0.001701316
211.35	0.000335931
211.56	-5.41816E-05
211.76	-0.000509312
211.96	0.000823568
212.17	-0.00158218
212.37	0.001473743
212.58	-0.001192004
212.78	0.000303413
212.98	-0.000996949
213.19	-0.000476807
213.39	-0.001224509
213.59	-0.000281752
213.8	-0.000509312
214	-0.001224509
214.21	-0.00141959
214.41	-0.000964444
214.61	0.000921096
214.82	-0.001452082
215.02	-0.002232275
215.23	-0.000541816
215.43	-0.000151706
215.63	-5.41816E-05
215.84	0.00040094
216.04	0.003359309
216.25	-0.001257027
216.45	0.000433458
216.65	-0.000866917
216.86	-0.001809621
217.06	-0.001809621
217.27	-0.000216729
217.47	-0.001354607
217.67	0.000433458
217.88	-0.000379279
218.08	0.000823568
218.29	-0.001224509
218.49	-2.16729E-05
218.7	0.001733807
218.9	-0.000574334
219.1	0.000791064
219.31	-0.000801894
219.51	-0.002232275
219.72	-0.000346761
219.92	-0.001126981
220.13	0.001928888
220.33	-0.001354607
220.53	-0.000379279
220.74	-0.001094476
220.94	-0.001061972
221.15	-0.001647163
221.35	0.000108365
221.56	-0.000606839
221.76	-0.000671862
221.97	-0.002719912
222.17	-0.000249234
222.38	-0.000671862
222.58	-0.002102309
222.78	-0.000996949
222.99	0.000140876
223.19	-0.001777129
223.4	0.000661018
223.6	-0.000379279
223.81	0.001246183
224.01	-0.000444289
224.22	-0.002427356
224.42	-0.000541816
224.63	-0.002492339
224.83	-0.00158218
225.04	-0.000444289
225.24	-0.001029454
225.45	0.001116151
225.65	-0.001029454
225.86	1.08365E-05
226.06	-0.000671862
226.27	-0.000249234
226.47	0.001051128
226.68	-0.002199783
226.88	-0.000996949
227.09	-0.001647163
227.29	-0.000639344
227.5	-0.001647163
227.7	-0.000671862
227.91	0.000335931
228.11	-0.000216729
228.32	-0.000736871
228.52	-0.000346761
228.73	0.000758546
228.93	-0.003045092
229.14	-0.000606839
229.34	0.001246183
229.55	0.000661018
229.75	-5.41816E-05
229.96	0.000108365
230.16	-0.001321983
230.37	-0.000379279
